shipment_id,num_legs,total_delay,max_delay,avg_delay
0,32,-6615.0,2625.0,-206.71875
1,32,-6726.0,2010.0,-210.1875
2,32,-10390.0,970.0,-324.6875
3,32,-11245.0,793.0,-351.40625
4,32,-10205.0,657.0,-318.90625
5,32,4464.0,17065.0,139.5
6,32,-12631.5,1027.0,-394.734375
7,32,-16873.0,358.5,-527.28125
8,32,-14993.0,497.0,-468.53125
9,32,-12515.0,358.5,-391.09375
10,32,-16121.0,608.0,-503.78125
11,32,-14776.0,358.5,-461.75
12,32,-22489.5,725.0,-702.796875
13,32,-14169.0,759.0,-442.78125
14,32,-6263.5,978.0,-195.734375
15,32,-20391.0,985.0,-637.21875
16,32,-5530.0,1506.0,-172.8125
17,32,-14448.0,2009.0,-451.5
18,32,-12592.0,1500.0,-393.5
19,32,-6265.0,814.0,-195.78125
20,32,-9137.0,3045.0,-285.53125
21,32,-12341.0,358.5,-385.65625
22,32,-15133.5,1858.0,-472.921875
23,32,-9790.0,3015.0,-305.9375
24,32,-11694.5,2212.0,-365.453125
25,32,-9307.5,3178.0,-290.859375
26,32,-14715.0,682.0,-459.84375
27,32,-19414.0,677.0,-606.6875
28,32,-8499.0,473.0,-265.59375
29,32,-16271.0,955.0,-508.46875
30,32,-9054.5,272.0,-282.953125
31,32,12355.0,27801.0,386.09375
32,32,-16724.0,678.0,-522.625
33,32,-14472.5,1119.0,-452.265625
34,32,-12454.0,1010.0,-389.1875
35,32,-14243.0,993.0,-445.09375
36,32,-15085.0,358.5,-471.40625
37,32,10966.5,15872.0,342.703125
38,32,-2621.5,809.0,-81.921875
39,32,-5782.5,1077.0,-180.703125
40,32,-10078.0,2055.0,-314.9375
41,32,-16837.0,630.0,-526.15625
42,32,-7254.5,715.0,-226.703125
43,32,-14373.5,1878.0,-449.171875
44,32,-11089.0,622.0,-346.53125
45,32,-11549.0,1497.0,-360.90625
46,32,-13507.0,638.0,-422.09375
47,32,-12183.0,358.5,-380.71875
48,32,-9318.0,1032.0,-291.1875
49,32,-6790.5,924.0,-212.203125
50,32,-14595.5,1687.0,-456.109375
51,32,-14120.0,837.0,-441.25
52,32,-16414.0,687.0,-512.9375
53,32,-15413.0,758.0,-481.65625
54,32,-14055.5,1003.0,-439.234375
55,32,-10802.5,866.0,-337.578125
56,32,-11697.5,1593.0,-365.546875
57,32,-16494.5,522.0,-515.453125
58,32,-15476.0,934.0,-483.625
59,32,-10732.5,3503.0,-335.390625
60,32,-16543.5,3070.0,-516.984375
61,32,-12033.5,242.0,-376.046875
62,32,-13638.0,1017.0,-426.1875
63,32,-3323.0,1283.0,-103.84375
64,32,-14449.5,985.0,-451.546875
65,32,-12905.0,859.0,-403.28125
66,32,-6515.0,5208.0,-203.59375
67,32,-5285.5,4877.0,-165.171875
68,32,-11215.0,2212.0,-350.46875
69,32,-13756.0,421.0,-429.875
70,32,-15913.0,608.0,-497.28125
71,32,-10409.0,1830.0,-325.28125
72,32,-14088.0,358.5,-440.25
73,32,-16050.0,2231.0,-501.5625
74,32,-14698.0,893.0,-459.3125
75,32,-9917.0,892.0,-309.90625
76,32,-16191.5,1143.0,-505.984375
77,32,-17875.0,495.0,-558.59375
78,32,-15584.0,1176.0,-487.0
79,32,-12827.5,1005.0,-400.859375
80,32,-16642.0,358.5,-520.0625
81,32,11939.0,20683.0,373.09375
82,32,-4312.0,3686.0,-134.75
83,32,-17550.5,211.0,-548.453125
84,32,-2327.0,7812.0,-72.71875
85,32,4435.5,7385.0,138.609375
86,32,-15133.0,516.0,-472.90625
87,32,-3972.0,3454.0,-124.125
88,32,28803.0,35315.0,900.09375
89,32,-17960.5,587.0,-561.265625
90,32,-14114.5,690.0,-441.078125
91,32,5659.5,9004.0,176.859375
92,32,-18196.0,1009.0,-568.625
93,32,82717.5,39736.0,2584.921875
94,32,5612.5,4192.0,175.390625
95,32,-9276.5,723.0,-289.890625
