shipment_id,origin,destination,dispatch_date,delivery_date,delay_days,disruption_type,risk_score,source
O1000,B33,S23,2023-10-27 00:00:00,2023-10-28,0.0,,0.0,resilience
O1001,B1,S20,2023-07-08 00:00:00,2023-07-09,0.0,,0.0,resilience
O1002,B2,S10,2023-12-29 00:00:00,2024-01-07,7.0,Shortage,1.0,resilience
O1003,B6,S10,2023-01-17 00:00:00,2023-01-20,0.0,,0.0,resilience
O1004,B5,S4,2023-01-14 00:00:00,2023-01-16,0.0,,0.0,resilience
O1005,B9,S11,2023-03-30 00:00:00,2023-04-08,0.0,,0.0,resilience
O1006,B34,S30,2023-01-14 00:00:00,2023-01-23,0.0,,0.0,resilience
O1007,B7,S30,2023-01-27 00:00:00,2023-02-05,0.0,,0.0,resilience
O1008,B16,S24,2023-10-29 00:00:00,2023-11-07,0.0,,0.0,resilience
O1009,B26,S13,2023-09-01 00:00:00,2023-09-10,1.0,Shortage,1.0,resilience
O1010,B30,S25,2023-05-05 00:00:00,2023-05-08,0.0,,0.0,resilience
O1011,B30,S14,2023-05-31 00:00:00,2023-06-05,0.0,,0.0,resilience
O1012,B42,S3,2023-02-28 00:00:00,2023-03-07,0.0,,0.0,resilience
O1013,B49,S8,2023-08-28 00:00:00,2023-09-05,1.0,Weather,1.0,resilience
O1014,B3,S5,2023-12-23 00:00:00,2024-01-01,7.0,Customs,1.0,resilience
O1015,B34,S9,2023-06-24 00:00:00,2023-06-27,0.0,,0.0,resilience
O1016,B7,S27,2023-08-10 00:00:00,2023-08-13,1.0,Customs,1.0,resilience
O1017,B17,S16,2023-04-30 00:00:00,2023-05-07,0.0,,0.0,resilience
O1018,B22,S8,2023-11-07 00:00:00,2023-11-14,2.0,Customs,1.0,resilience
O1019,B36,S18,2023-07-04 00:00:00,2023-07-12,5.0,Customs,1.0,resilience
O1020,B37,S24,2023-10-17 00:00:00,2023-11-01,10.0,Strike,1.0,resilience
O1021,B31,S9,2023-11-06 00:00:00,2023-11-12,0.0,,0.0,resilience
O1022,B50,S21,2023-10-30 00:00:00,2023-11-05,2.0,Weather,1.0,resilience
O1023,B41,S12,2023-03-24 00:00:00,2023-04-03,7.0,Customs,1.0,resilience
O1024,B23,S21,2023-08-03 00:00:00,2023-08-12,1.0,Strike,1.0,resilience
O1025,B6,S7,2023-06-02 00:00:00,2023-06-06,3.0,Strike,1.0,resilience
O1026,B37,S23,2023-02-10 00:00:00,2023-02-14,3.0,Strike,1.0,resilience
O1027,B23,S10,2023-12-20 00:00:00,2023-12-27,0.0,,0.0,resilience
O1028,B14,S7,2023-11-12 00:00:00,2023-11-18,2.0,Strike,1.0,resilience
O1029,B39,S16,2023-12-30 00:00:00,2024-01-08,7.0,Shortage,1.0,resilience
O1030,B34,S3,2023-03-02 00:00:00,2023-03-13,7.0,Strike,1.0,resilience
O1031,B35,S16,2023-05-14 00:00:00,2023-05-18,1.0,Customs,1.0,resilience
O1032,B2,S11,2023-07-25 00:00:00,2023-07-29,2.0,Customs,1.0,resilience
O1033,B4,S2,2023-09-04 00:00:00,2023-09-09,0.0,,0.0,resilience
O1034,B41,S20,2023-02-08 00:00:00,2023-02-10,0.0,,0.0,resilience
O1035,B32,S16,2023-04-07 00:00:00,2023-04-12,0.0,,0.0,resilience
O1036,B4,S17,2023-07-30 00:00:00,2023-08-06,1.0,Customs,1.0,resilience
O1037,B37,S6,2023-12-20 00:00:00,2023-12-25,1.0,Customs,1.0,resilience
O1038,B13,S12,2023-11-29 00:00:00,2023-11-30,0.0,,0.0,resilience
O1039,B11,S27,2023-11-05 00:00:00,2023-11-15,1.0,Strike,1.0,resilience
O1040,B35,S14,2023-12-20 00:00:00,2024-01-06,10.0,Weather,1.0,resilience
O1041,B4,S7,2023-08-05 00:00:00,2023-08-10,3.0,Shortage,1.0,resilience
O1042,B45,S20,2023-06-09 00:00:00,2023-06-17,0.0,,0.0,resilience
O1043,B7,S5,2023-01-27 00:00:00,2023-02-02,2.0,Shortage,1.0,resilience
O1044,B26,S1,2023-10-23 00:00:00,2023-10-31,0.0,,0.0,resilience
O1045,B29,S16,2023-01-08 00:00:00,2023-01-16,2.0,Weather,1.0,resilience
