shipment_id,origin,destination,dispatch_date,delivery_date,delay_days,disruption_type,risk_score,source,lead_time_days,delay_severity,month,weekday,quarter,year,route_risk_score
O1000,B33,S23,2023-10-27 00:00:00,2023-10-28,0.0,,0.0,resilience,1.0,Minor,10,4,4,2023,1.0
O1001,B1,S20,2023-07-08 00:00:00,2023-07-09,0.0,,0.0,resilience,1.0,Minor,7,5,3,2023,1.0
O1002,B2,S10,2023-12-29 00:00:00,2024-01-07,7.0,Shortage,1.0,resilience,9.0,Severe,12,4,4,2023,1.0
O1003,B6,S10,2023-01-17 00:00:00,2023-01-20,0.0,,0.0,resilience,3.0,Moderate,1,1,1,2023,1.0
O1004,B5,S4,2023-01-14 00:00:00,2023-01-16,0.0,,0.0,resilience,2.0,Minor,1,5,1,2023,1.0
O1005,B9,S11,2023-03-30 00:00:00,2023-04-08,0.0,,0.0,resilience,9.0,Severe,3,3,1,2023,1.0
O1006,B34,S30,2023-01-14 00:00:00,2023-01-23,0.0,,0.0,resilience,9.0,Severe,1,5,1,2023,1.0
O1007,B7,S30,2023-01-27 00:00:00,2023-02-05,0.0,,0.0,resilience,9.0,Severe,1,4,1,2023,1.0
O1008,B16,S24,2023-10-29 00:00:00,2023-11-07,0.0,,0.0,resilience,9.0,Severe,10,6,4,2023,1.0
O1009,B26,S13,2023-09-01 00:00:00,2023-09-10,1.0,Shortage,1.0,resilience,9.0,Severe,9,4,3,2023,1.0
O1010,B30,S25,2023-05-05 00:00:00,2023-05-08,0.0,,0.0,resilience,3.0,Moderate,5,4,2,2023,1.0
O1011,B30,S14,2023-05-31 00:00:00,2023-06-05,0.0,,0.0,resilience,5.0,Moderate,5,2,2,2023,1.0
O1012,B42,S3,2023-02-28 00:00:00,2023-03-07,0.0,,0.0,resilience,7.0,Moderate,2,1,1,2023,1.0
O1013,B49,S8,2023-08-28 00:00:00,2023-09-05,1.0,Weather,1.0,resilience,8.0,Severe,8,0,3,2023,1.0
O1014,B3,S5,2023-12-23 00:00:00,2024-01-01,7.0,Customs,1.0,resilience,9.0,Severe,12,5,4,2023,1.0
O1015,B34,S9,2023-06-24 00:00:00,2023-06-27,0.0,,0.0,resilience,3.0,Moderate,6,5,2,2023,1.0
O1016,B7,S27,2023-08-10 00:00:00,2023-08-13,1.0,Customs,1.0,resilience,3.0,Moderate,8,3,3,2023,1.0
